region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Europe & Central Asia,ECA,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,2.15,0.05264806,0.017958083,0.008754278,0.02568241,10.41101439,8.704905449,0.25417493,0.370951267,0.332536624,0.018980409,0.036448519,0.050092096,0.063295776,0.076485841,0.09074706,0.106507626,0.129066837,0.163898014,0.264477822,1,50.35737228,2873457,4249.820049,3345.556245,FALSE,micro,survey,5.502452724,0.270868657,4.3188669,
Europe & Central Asia,ECA,Albania,ALB,2018,national,HBS,national,2018,consumption,3,2018 - 2020,2.15,4.81E-04,5.64E-05,6.74E-06,6.00E-05,13.31650708,11.63997615,0.152404414,0.301482817,0.265930116,0.031707358,0.047677766,0.059737454,0.070730734,0.08134095,0.093449786,0.107498982,0.125959462,0.154551693,0.227345815,1.020280552,50.35737228,2866376,4431.555595,3461.664374,FALSE,micro,survey,6.969988077,0.186449415,2.567169634,
Europe & Central Asia,ECA,Albania,ALB,2018,national,SILC-C,national,2018,income,4,2016 - 2018,2.15,0.038929823,0.01132212,0.005091756,0.015600487,10.89724168,9.19962847,0.233051287,0.359887519,0.319245033,0.021491021,0.038550208,0.051452789,0.063934622,0.077324685,0.091300763,0.106735367,0.126765477,0.162682972,0.259762096,1.020280552,50.35737228,2866376,4431.555595,3461.664374,FALSE,micro,survey,5.749814235,0.258845319,3.860376007,
Europe & Central Asia,ECA,Albania,ALB,2019,national,HBS,national,2019,consumption,3,2018 - 2020,2.15,0,0,0,0,13.74983081,11.61152396,0.147458802,0.301157683,0.262333875,0.035359826,0.04978341,0.060216892,0.06945585,0.079254147,0.090381969,0.103833308,0.123283361,0.152291704,0.236139533,1.034677628,50.35737228,2854191,4543.38771,3591.292577,FALSE,micro,survey,6.955761982,0.158373131,2.424193775,
Europe & Central Asia,ECA,Albania,ALB,2020,national,HBS,national,2020,consumption,3,2018 - 2020,2.15,2.13E-04,1.15E-05,6.24E-07,1.18E-05,13.95218978,12.06470661,0.142736286,0.294196298,0.256354313,0.034180198,0.050261743,0.0608962,0.071092496,0.081097451,0.092200085,0.105630869,0.124418394,0.152666423,0.22755614,1.051448609,50.35737228,2837849,4418.660874,3489.233434,FALSE,micro,survey,7.182353304,0.159824309,2.387196405,
Other High Income Countries,OHI,United Arab Emirates,ARE,2013,national,HIES,national,2013.42,income,0,2013 - 2018,2.15,0,0,0,0,72.45095058,65.14343946,0.192562088,0.325104209,0.323312354,0.023497327,0.038642841,0.053066228,0.067383153,0.082186396,0.09817662,0.116355091,0.13842758,0.16791161,0.214353155,0.915027112,2.834843874,8787170.68,38034.9684,15943.33436,FALSE,group,survey,33.72171973,0.20434,0.528891174,
Other High Income Countries,OHI,United Arab Emirates,ARE,2018,national,HIES,national,2018,income,0,2013 - 2018,2.15,0,0,0,0,78.77590279,74.25183721,0.135325418,0.263990044,0.206274012,0.028349686,0.053640054,0.068373006,0.079582258,0.089456066,0.099174769,0.109823266,0.123123812,0.143671644,0.204805441,1.030686345,2.834843874,9140169,43644.14704,16365.32017,FALSE,group,survey,38.27591861,0.12135,0.446561181,
Latin America & Caribbean,LAC,Argentina,ARG,1980,urban,EPH,urban,1980,income,0,1980 - 1991,2.15,0,0,0,0,32.47283357,24.83048735,0.287917587,0.408308603,0.372918597,0.020098564,0.032864355,0.044929877,0.056978585,0.069689034,0.083945641,0.101224627,0.124679982,0.16383563,0.301753706,0.05489375,10.80793953,23228918,10270.95612,,FALSE,group,survey,13.56524368,0.22355,1.359989081,
Latin America & Caribbean,LAC,Argentina,ARG,1986,urban,EPH,urban,1986,income,0,1980 - 1991,2.15,0.011191321,0.009824744,0.008649884,0.023833841,35.17030738,25.36731716,0.346787042,0.427977842,0.384634019,0.017773314,0.033569403,0.0435526,0.055175874,0.066639948,0.079847987,0.097334625,0.12092717,0.163270371,0.321908708,0.014069943,10.80793953,26272907,9397.883608,,FALSE,micro,survey,13.83365858,0.21445518,2.365623185,
Latin America & Caribbean,LAC,Argentina,ARG,1987,urban,EPH,urban,1987,income,0,1980 - 1991,2.15,0.011860859,0.00798491,0.006462967,0.018177642,32.14753884,22.35961437,0.380956026,0.452675117,0.410318476,0.015682232,0.030154731,0.041190971,0.051914436,0.063450487,0.077233106,0.0951548,0.119496342,0.163303527,0.342419368,0.03254866,10.80793953,26797140,9507.339813,,FALSE,micro,survey,12.32980719,0.219065613,2.323951444,
Latin America & Caribbean,LAC,Argentina,ARG,1991,urban,EPH,urban,1991,income,0,1980 - 1991,2.15,0.009720286,0.005882949,0.004328442,0.012251135,22.81217583,15.11462828,0.388782534,0.467544558,0.405789012,0.017506222,0.030553054,0.040586304,0.049992532,0.060608772,0.072389037,0.088960293,0.114115001,0.159224643,0.366064141,328.9091827,10.80793953,28910601,8762.661384,,FALSE,micro,survey,8.70731414,0.222276406,2.618441446,
Latin America & Caribbean,LAC,Argentina,ARG,1992,urban,EPH,urban,1992,income,1,1992 - 1997,2.15,0.016737125,0.01017948,0.00789348,0.021958179,23.0065146,15.80751669,0.380791915,0.454551669,0.427533179,0.016104109,0.030003207,0.04070213,0.051216056,0.062101614,0.07656902,0.094130533,0.120722536,0.165611381,0.342839413,0.038807526,10.80793953,29386348,9327.859451,,FALSE,micro,survey,9.053758346,0.240824871,3.001611756,
Latin America & Caribbean,LAC,Argentina,ARG,1993,urban,EPH,urban,1993,income,1,1992 - 1997,2.15,0.019766662,0.010609283,0.007867679,0.022300309,23.05489813,16.15616138,0.377776731,0.448434193,0.421860383,0.01493328,0.029657476,0.04098936,0.052187983,0.064168021,0.078970063,0.096698499,0.123451975,0.167092507,0.331850835,0.042250333,10.80793953,29859584,9957.256522,6139.435157,FALSE,micro,survey,9.228080688,0.240131291,3.029452279,
Latin America & Caribbean,LAC,Argentina,ARG,1994,urban,EPH,urban,1994,income,1,1992 - 1997,2.15,0.019113266,0.01256382,0.010017257,0.027986781,22.77727812,15.62238741,0.396396424,0.458984993,0.427191975,0.015093778,0.028806119,0.03956723,0.050678384,0.063135024,0.077172139,0.094989525,0.121058716,0.165161189,0.344337896,0.04381074,10.80793953,30336257,10397.37929,6424.87141,FALSE,micro,survey,8.961193705,0.246698225,3.333050505,
Latin America & Caribbean,LAC,Argentina,ARG,1995,urban,EPH,urban,1995,income,1,1992 - 1997,2.15,0.038554344,0.020245124,0.014646523,0.041653969,21.63765409,14.44122604,0.461653473,0.488787408,0.44763222,0.01149809,0.026301592,0.036853011,0.047333195,0.059122319,0.07358045,0.090705476,0.116851156,0.168141997,0.369612715,0.044761058,10.80793953,30809888,9969.331576,6063.19657,FALSE,micro,survey,8.370613019,0.265623388,4.099078017,
Latin America & Caribbean,LAC,Argentina,ARG,1996,urban,EPH,urban,1996,income,1,1992 - 1997,2.15,0.042175672,0.025194957,0.019523965,0.054552398,21.1976991,13.85463726,0.486170223,0.494914048,0.471092873,0.010565499,0.024805279,0.035550819,0.046428795,0.058318956,0.073008427,0.091962472,0.119781571,0.170957988,0.368620195,0.044852673,10.80793953,31272164,10388.53871,6318.623328,FALSE,micro,survey,8.07731863,0.272964509,4.748078998,
Latin America & Caribbean,LAC,Argentina,ARG,1997,urban,EPH,urban,1997,income,1,1992 - 1997,2.15,0.037657508,0.020276411,0.015028078,0.042141946,22.21044502,14.83567952,0.470252747,0.490858615,0.473791434,0.010990756,0.024661997,0.035172055,0.046868066,0.05936011,0.073082442,0.092749415,0.120743571,0.172766547,0.36360504,0.045108742,10.80793953,31720057,11097.38206,6803.800693,FALSE,micro,survey,8.567839758,0.281586182,4.118860831,
Latin America & Caribbean,LAC,Argentina,ARG,1998,urban,EPH,urban,1998,income,2,1998 - 2002,2.15,0.039691888,0.019467196,0.013285319,0.037885228,21.56673861,13.57286692,0.493836289,0.507132225,0.49505693,0.010786583,0.023426631,0.033657112,0.044343151,0.056366816,0.070634368,0.090512836,0.119577264,0.170240201,0.380455038,0.045607713,10.80793953,32160222,11391.94516,6959.169958,FALSE,micro,survey,7.93643346,0.281578994,4.038657287,
Latin America & Caribbean,LAC,Argentina,ARG,1999,urban,EPH,urban,1999,income,2,1998 - 2002,2.15,0.041879584,0.022013949,0.015805412,0.044717085,20.55825288,13.47960434,0.48136766,0.497662958,0.485454985,0.010880211,0.024181836,0.03463323,0.045214244,0.057958231,0.07289641,0.091842825,0.120955273,0.171038422,0.370399317,0.044682094,10.80793953,32603604,10880.20621,6741.994208,FALSE,micro,survey,7.889802172,0.288298367,4.386351148,
Latin America & Caribbean,LAC,Argentina,ARG,2000,urban,EPH,urban,2000,income,2,1998 - 2002,2.15,0.049882614,0.02547129,0.017672998,0.049764116,20.10834709,12.82030826,0.511491489,0.510386126,0.509462226,0.00965365,0.022372677,0.032488027,0.043271218,0.055972971,0.07174577,0.091097851,0.122055367,0.17444114,0.376901331,0.044369917,10.80793953,33045629,10672.72204,6622.047469,FALSE,micro,survey,7.560154131,0.309187901,4.668128247,
Latin America & Caribbean,LAC,Argentina,ARG,2001,urban,EPH,urban,2001,income,2,1998 - 2002,2.15,0.082347868,0.042534498,0.029814212,0.083821913,18.51959083,11.44144786,0.583794499,0.5329431,0.539204899,0.006847916,0.019289923,0.030166196,0.040727813,0.053433011,0.069155519,0.089952167,0.120603819,0.175206993,0.394616642,0.043868061,10.80793953,33480950,10090.65344,6173.619578,FALSE,micro,survey,6.87072393,0.314538095,6.290628745,
Latin America & Caribbean,LAC,Argentina,ARG,2002,urban,EPH,urban,2002,income,2,1998 - 2002,2.15,0.124471545,0.047350123,0.026465447,0.077504919,13.00775958,7.848625419,0.557621666,0.537604421,0.535251505,0.008949685,0.01884829,0.028988333,0.040440897,0.053276276,0.068436155,0.086830749,0.116632656,0.172623891,0.404973069,0.060751838,10.80793953,33910889,8895.319642,5230.987075,FALSE,micro,survey,5.074312709,0.342939979,6.54994138,
Latin America & Caribbean,LAC,Argentina,ARG,2003,urban,EPHC-S2,urban,2003,income,3,2003 - 2022,2.15,0.053636474,0.019359305,0.010617869,0.031699769,18.38880294,11.57290266,0.493860089,0.50994716,0.513536847,0.010673771,0.022175583,0.032116877,0.043586575,0.0556813,0.071183305,0.09244779,0.122526887,0.172135713,0.377472198,0.063141302,10.80793953,34330154,9581.969792,5600.191174,FALSE,micro,survey,6.936451332,0.300879889,4.088759906,
Latin America & Caribbean,LAC,Argentina,ARG,2004,urban,EPHC-S2,urban,2004,income,3,2003 - 2022,2.15,0.038789884,0.012646907,0.006676349,0.02010905,19.82171818,13.41548275,0.441262612,0.484836506,0.477846767,0.011979955,0.023807919,0.034664474,0.046334369,0.060004095,0.075639199,0.095640919,0.125459351,0.173478679,0.352991039,0.066653196,10.80793953,34747780,10341.64341,6070.240601,FALSE,micro,survey,7.857741375,0.296399801,3.389099514,
Latin America & Caribbean,LAC,Argentina,ARG,2005,urban,EPHC-S2,urban,2005,income,3,2003 - 2022,2.15,0.0268375,0.008912363,0.004717402,0.014379452,21.80329746,14.88371214,0.426073436,0.478103869,0.465010175,0.012543608,0.024917872,0.035695436,0.047581495,0.060861182,0.076405911,0.096366934,0.124524364,0.171469502,0.349633697,0.0738305,10.80793953,35175563,11141.31067,6451.962647,FALSE,micro,survey,8.591856068,0.28331777,2.969178414,
Latin America & Caribbean,LAC,Argentina,ARG,2006,urban,EPHC-S2,urban,2006,income,3,2003 - 2022,2.15,0.021735891,0.007930971,0.004316654,0.012717615,24.17107165,17.00390549,0.405039389,0.464445569,0.448932692,0.012866046,0.026186128,0.037460304,0.049412296,0.062910212,0.078956387,0.099322892,0.125642523,0.169270552,0.33797266,0.081471318,10.80793953,35608120,11913.95853,7085.166029,FALSE,micro,survey,9.651952745,0.272112501,2.61354743,
Latin America & Caribbean,LAC,Argentina,ARG,2007,urban,EPHC-S2,urban,2007,income,3,2003 - 2022,2.15,0.017975101,0.006503315,0.0037706,0.011202313,24.93244305,17.58331885,0.397994685,0.462826777,0.446214213,0.013919882,0.02667695,0.037135092,0.049283855,0.062915868,0.078841107,0.099171417,0.125222392,0.169467125,0.337366311,0.099746367,10.80793953,36034446,12857.09258,7669.273296,FALSE,micro,survey,9.941659424,0.276512359,2.507011629,
Latin America & Caribbean,LAC,Argentina,ARG,2008,urban,EPHC-S2,urban,2008,income,3,2003 - 2022,2.15,0.016375881,0.006083494,0.003454184,0.010210676,25.51863971,18.38651469,0.377289486,0.449868296,0.4322333,0.014039242,0.027722964,0.039417266,0.051436489,0.064606736,0.080358271,0.099961019,0.12746115,0.170333186,0.324663677,0.125182322,10.80793953,36459843,13246.63489,8143.673767,FALSE,micro,survey,10.34325734,0.260884292,2.367865943,
Latin America & Caribbean,LAC,Argentina,ARG,2009,urban,EPHC-S2,urban,2009,income,3,2003 - 2022,2.15,0.015534867,0.005261336,0.00287291,0.008696888,26.41048478,19.65266205,0.357628634,0.437590004,0.416451065,0.014450533,0.028518471,0.040701623,0.053151875,0.066960929,0.082606101,0.101656904,0.128110108,0.170666529,0.313176929,0.142668568,10.80793953,36897033,12336.86194,7626.360038,FALSE,micro,survey,10.97633103,0.257735096,2.215859311,
Latin America & Caribbean,LAC,Argentina,ARG,2010,urban,EPHC-S2,urban,2010,income,3,2003 - 2022,2.15,0.007465409,0.002880128,0.001745349,0.005159632,27.21848247,20.20041202,0.347134198,0.436765981,0.409208781,0.015853132,0.029584897,0.040883172,0.05295588,0.066422978,0.082133792,0.100527313,0.125224088,0.168796794,0.317617955,0.177735765,10.80793953,37055902,13551.33919,8457.967004,FALSE,micro,survey,11.25020601,0.255150506,2.013875451,
Latin America & Caribbean,LAC,Argentina,ARG,2011,urban,EPHC-S2,urban,2011,income,3,2003 - 2022,2.15,0.00711377,0.002802584,0.001688999,0.004911567,28.95171248,21.53597305,0.330135953,0.427379567,0.405165366,0.017040101,0.030643995,0.041962827,0.054124702,0.06721719,0.082868485,0.101078006,0.126373087,0.168624869,0.310066738,0.216259244,10.80793953,37543830,14200.26989,9144.320494,FALSE,micro,survey,11.91798652,0.242677264,1.835006699,
Latin America & Caribbean,LAC,Argentina,ARG,2012,urban,EPHC-S2,urban,2012,income,3,2003 - 2022,2.15,0.006470466,0.00287873,0.001813961,0.005105433,28.6922175,21.84913068,0.312476822,0.414373928,0.395440961,0.01733735,0.032209789,0.043596793,0.055575225,0.068838298,0.084848435,0.103524686,0.128166164,0.16831112,0.297592139,0.271061629,10.80793953,38027774,13895.63371,9141.326925,FALSE,micro,survey,12.07456534,0.23657503,1.812421175,
Latin America & Caribbean,LAC,Argentina,ARG,2013,urban,EPHC-S2,urban,2013,income,3,2003 - 2022,2.15,0.006666751,0.002783582,0.001790946,0.005234443,28.71555059,22.0846418,0.307280843,0.410865078,0.390507829,0.017711461,0.032231796,0.043733725,0.056054674,0.069786958,0.085556584,0.104131787,0.128466293,0.167677088,0.294649634,0.343416331,10.80793953,38509756,14071.50868,9368.54777,FALSE,micro,survey,12.1923209,0.240411329,1.817381784,
Latin America & Caribbean,LAC,Argentina,ARG,2014,urban,EPHC-S2,urban,2014,income,3,2003 - 2022,2.15,0.006047795,0.002647296,0.001706085,0.004903101,26.78213365,20.10528559,0.313879157,0.41822528,0.402793872,0.01816735,0.032001898,0.042966808,0.05420321,0.067959948,0.083479697,0.102742967,0.128255095,0.169482904,0.300740123,0.481982484,10.80793953,38990109,13567.94842,8862.270252,FALSE,micro,survey,11.2026428,0.238137644,1.913879746,
Latin America & Caribbean,LAC,Argentina,ARG,2016,urban,EPHC-S2,urban,2016,income,3,2003 - 2022,2.15,0.006968852,0.002832645,0.001789952,0.005119413,27.78993782,20.8810121,0.323899155,0.423450476,0.39831526,0.017403744,0.031273708,0.042649903,0.054474076,0.067714834,0.08305029,0.101206479,0.127032709,0.168162722,0.307031536,0.854416376,10.80793953,39940546,13360.21183,8922.063603,FALSE,micro,survey,11.59050605,0.241359376,1.891465961,
Latin America & Caribbean,LAC,Argentina,ARG,2017,urban,EPHC-S2,urban,2017,income,3,2003 - 2022,2.15,0.006037963,0.002312385,0.00149227,0.004372216,29.0949827,21.99616841,0.310679879,0.414348367,0.392098638,0.017548829,0.03256603,0.043959554,0.055716842,0.068951729,0.084142393,0.102492566,0.127281678,0.167812853,0.299527526,1.051022544,10.80793953,40410674,13595.03736,9197.198956,FALSE,micro,survey,12.1480842,0.230204282,1.779709328,
Latin America & Caribbean,LAC,Argentina,ARG,2018,urban,EPHC-S2,urban,2018,income,3,2003 - 2022,2.15,0.010443243,0.00377566,0.002085721,0.00623205,26.22188385,19.94198774,0.317095288,0.417190074,0.392384063,0.017158117,0.031782061,0.043693624,0.055548845,0.068642453,0.084405871,0.102365252,0.127631696,0.167289111,0.30148297,1.487739353,10.80793953,40877099,13105.39716,8899.789528,FALSE,micro,survey,11.12099387,0.238775165,1.998683119,
Latin America & Caribbean,LAC,Argentina,ARG,2019,urban,EPHC-S2,urban,2019,income,3,2003 - 2022,2.15,0.011097424,0.004005466,0.002306397,0.006723633,25.5359271,18.91956629,0.341801716,0.433141764,0.410733859,0.016200999,0.029992046,0.041478657,0.053145786,0.066536463,0.082255235,0.100869065,0.126989079,0.169085266,0.313447403,2.277404942,10.80793953,41339571,12716.2242,8271.924771,FALSE,micro,survey,10.60978314,0.250162969,2.131222398,
Latin America & Caribbean,LAC,Argentina,ARG,2020,urban,EPHC-S2,urban,2020,income,3,2003 - 2022,2.15,0.011731252,0.003668785,0.002168788,0.006603524,22.27625371,16.6169426,0.330081112,0.427437579,0.416146118,0.017138727,0.030252496,0.041502015,0.052909626,0.066882055,0.082771019,0.103158417,0.128358674,0.170736593,0.306290378,3.1424402,10.80793953,41796990,11346.65211,7194.98371,FALSE,micro,survey,9.458471298,0.259726607,2.378928646,
Latin America & Caribbean,LAC,Argentina,ARG,2021,urban,EPHC-S2,urban,2021,income,3,2003 - 2022,2.15,0.008942179,0.004110786,0.002517837,0.006982985,24.20371367,17.89622387,0.324094817,0.424455906,0.395626185,0.017948363,0.032305548,0.043177225,0.054526548,0.066748728,0.082031812,0.100454492,0.124943816,0.165385862,0.312477607,4.765004677,10.80793953,42248949,12444.31827,7865.002511,FALSE,micro,survey,10.09811193,0.238324728,2.13334692,
Latin America & Caribbean,LAC,Argentina,ARG,2022,urban,EPHC-S2,urban,2022,income,3,2003 - 2022,2.15,0.006118898,0.002417383,0.001413072,0.004119993,22.85961984,17.29049296,0.291339181,0.407364928,0.382429986,0.020077869,0.034320547,0.045113715,0.056079992,0.068483174,0.083247052,0.101138119,0.12583559,0.167513129,0.298190812,8.818208163,10.80793953,42696478,12940.73844,8545.858634,FALSE,micro,survey,9.79524648,0.228425334,2.068445228,
Europe & Central Asia,ECA,Armenia,ARM,1996,national,ILCS,national,1996,income,0,1996,2.15,0.14373,0.030539989,0.008666343,0.036129778,6.768335577,4.66591645,0.330655151,0.444185809,0.382680858,0.022959634,0.032357089,0.041861543,0.051872933,0.062905966,0.075751262,0.091851571,0.114447299,0.153778059,0.352214644,0.423187648,167.3122101,3298898,989.6423432,999.075637,FALSE,group,survey,3.482958225,0.34642,6.564010902,
Europe & Central Asia,ECA,Armenia,ARM,1999,national,ILCS,national,1999,consumption,1,1999 - 2018,2.15,0.118994138,0.028327981,0.009963298,0.035577901,5.100736093,3.926315489,0.218430023,0.362197243,0.290035982,0.030441494,0.045177441,0.054017481,0.061943227,0.071628768,0.082704834,0.096620533,0.115756646,0.145465465,0.296244112,0.527489871,167.3122101,3206030,1166.187962,1172.335623,FALSE,micro,survey,3.113157744,0.340930258,7.242790257,
Europe & Central Asia,ECA,Armenia,ARM,2001,national,ILCS,national,2001,consumption,1,1999 - 2018,2.15,0.139747494,0.030136789,0.010191808,0.038163945,4.846677313,3.771701359,0.206337383,0.35364359,0.277252705,0.031956956,0.045404732,0.054950129,0.063824262,0.073175241,0.083202075,0.095148355,0.113337319,0.148451489,0.290549441,0.539781164,167.3122101,3133133,1385.044794,1391.493662,FALSE,micro,survey,3.03585068,0.337602226,7.529551664,
Europe & Central Asia,ECA,Armenia,ARM,2002,national,ILCS,national,2002,consumption,1,1999 - 2018,2.15,0.09966604,0.021111412,0.00715384,0.026400525,5.084001243,3.955772554,0.200002151,0.347796743,0.268311995,0.033374889,0.047095047,0.056050358,0.064293219,0.073107912,0.082873065,0.095237508,0.112933676,0.145076119,0.289958208,0.545503104,167.3122101,3105037,1582.057622,1520.338955,FALSE,micro,survey,3.127886277,0.313817575,7.024275213,
Europe & Central Asia,ECA,Armenia,ARM,2003,national,ILCS,national,2003,consumption,1,1999 - 2018,2.15,0.075395175,0.011541282,0.00316188,0.013728638,5.225257118,4.167549151,0.182094661,0.330280869,0.245142805,0.036850179,0.049812717,0.058331511,0.066138127,0.074858648,0.084574521,0.095672286,0.112230574,0.139578277,0.28195316,0.571259329,167.3122101,3084102,1815.788224,1641.796828,FALSE,micro,survey,3.233774575,0.297316972,6.546096451,
